date_added,duration
"May 6, 2019",125
"May 6, 2019",147
"May 6, 2016",60
"May 5, 2019",88
"May 5, 2018",92
"May 5, 2018",87
"May 5, 2017",81
"May 5, 2017",72
"May 5, 2017",98
"May 5, 2016",86
"May 5, 2009",104
"May 4, 2018",100
"May 4, 2018",113
"May 4, 2018",105
"May 4, 2018",94
"May 4, 2018",109
"May 4, 2018",116
"May 4, 2018",99
"May 31, 2019",102
"May 31, 2019",127
"May 31, 2019",101
"May 31, 2019",135
"May 31, 2019",124
"May 31, 2019",103
"May 31, 2019",105
"May 31, 2019",98
"May 31, 2019",93
"May 31, 2019",113
"May 31, 2019",106
"May 31, 2018",89
"May 30, 2019",99
"May 30, 2019",123
"May 30, 2019",91
"May 30, 2017",71
"May 3, 2019",79
"May 3, 2019",110
"May 3, 2019",128
"May 3, 2019",110
"May 3, 2018",89
"May 29, 2017",153
"May 28, 2019",84
"May 28, 2019",99
"May 27, 2016",109
"May 26, 2019",122
"May 26, 2018",117
"May 26, 2017",98
"May 26, 2017",143
"May 26, 2017",123
"May 26, 2016",96
"May 25, 2018",114
"May 25, 2018",63
"May 25, 2018",94
"May 25, 2018",74
"May 25, 2017",97
"May 24, 2019",101
"May 24, 2019",99
"May 24, 2019",91
"May 24, 2018",103
"May 23, 2017",80
"May 22, 2019",137
"May 22, 2018",58
"May 22, 2015",78
"May 22, 2015",84
"May 21, 2019",111
"May 21, 2019",66
"May 21, 2019",159
"May 2, 2019",79
"May 2, 2019",87
"May 2, 2019",133
"May 2, 2019",116
"May 2, 2019",119
"May 2, 2018",92
"May 2, 2017",64
"May 2, 2017",95
"May 19, 2019",125
"May 19, 2018",94
"May 19, 2018",92
"May 19, 2017",106
"May 19, 2017",101
"May 18, 2019",95
"May 18, 2019",95
"May 18, 2018",104
"May 18, 2018",117
"May 17, 2019",96
"May 17, 2019",90
"May 17, 2019",53
"May 17, 2019",87
"May 17, 2018",89
"May 17, 2015",78
"May 17, 2011",103
"May 16, 2019",90
"May 16, 2019",96
"May 16, 2019",150
"May 16, 2019",105
"May 16, 2019",112
"May 16, 2019",119
"May 16, 2019",142
"May 16, 2019",94
"May 16, 2019",97
"May 16, 2018",129
"May 16, 2018",160
"May 16, 2017",119
"May 16, 2017",140
"May 16, 2017",59
"May 15, 2019",137
"May 15, 2019",100
"May 15, 2019",125
"May 15, 2019",128
"May 15, 2019",108
"May 15, 2019",136
"May 15, 2019",165
"May 15, 2019",124
"May 15, 2019",133
"May 15, 2019",116
"May 15, 2018",150
"May 15, 2018",158
"May 15, 2018",118
"May 15, 2018",100
"May 15, 2018",90
"May 15, 2017",164
"May 15, 2017",151
"May 15, 2017",84
"May 15, 2017",142
"May 15, 2017",110
"May 15, 2017",99
"May 15, 2016",102
"May 14, 2019",102
"May 14, 2019",87
"May 13, 2019",70
"May 13, 2019",92
"May 13, 2018",64
"May 13, 2017",86
"May 12, 2019",88
"May 12, 2018",92
"May 12, 2017",101
"May 12, 2017",88
"May 12, 2017",86
"May 11, 2019",100
"May 11, 2019",111
"May 11, 2019",128
"May 11, 2018",63
"May 11, 2018",105
"May 10, 2019",98
"May 10, 2019",104
"May 10, 2017",151
"May 10, 2017",116
"May 10, 2017",128
"May 10, 2017",128
"May 10, 2017",86
"May 10, 2017",88
"May 10, 2017",80
"May 10, 2015",93
"May 1, 2019",53
"May 1, 2019",82
"May 1, 2019",99
"May 1, 2019",87
"May 1, 2019",90
"May 1, 2019",124
"May 1, 2019",53
"May 1, 2019",88
"May 1, 2019",104
"May 1, 2019",92
"May 1, 2019",126
"May 1, 2019",140
"May 1, 2019",87
"May 1, 2019",93
"May 1, 2019",80
"May 1, 2018",82
"May 1, 2018",70
"May 1, 2018",131
"May 1, 2018",105
"May 1, 2018",130
"May 1, 2018",98
"May 1, 2018",90
"May 1, 2018",105
"May 1, 2018",106
"May 1, 2018",126
"May 1, 2018",84
"May 1, 2018",65
"May 1, 2018",121
"May 1, 2018",163
"May 1, 2018",92
"May 1, 2018",124
"May 1, 2018",107
"May 1, 2018",25
"May 1, 2018",103
"May 1, 2018",45
"May 1, 2018",101
"May 1, 2018",60
"May 1, 2018",90
"May 1, 2018",96
"May 1, 2018",98
"May 1, 2018",94
"May 1, 2018",74
"May 1, 2017",96
"May 1, 2017",111
"May 1, 2017",127
"May 1, 2017",117
"May 1, 2017",123
"May 1, 2017",139
"May 1, 2017",95
"May 1, 2017",148
"May 1, 2017",121
"May 1, 2017",79
"May 1, 2017",127
"May 1, 2017",92
"May 1, 2017",162
"May 1, 2017",163
"May 1, 2017",83
"May 1, 2017",112
"May 1, 2017",117
"May 1, 2017",90
"May 1, 2017",95
"May 1, 2017",99
"May 1, 2017",125
"May 1, 2017",93
"May 1, 2017",89
"May 1, 2017",120
"May 1, 2017",114
"May 1, 2017",109
"May 1, 2017",83
"May 1, 2017",107
"May 1, 2017",129
"May 1, 2017",135
"May 1, 2017",149
"May 1, 2017",136
"May 1, 2017",138
"May 1, 2017",177
"May 1, 2017",61
"May 1, 2017",126
"May 1, 2017",137
"May 1, 2017",114
"May 1, 2017",104
"May 1, 2017",96
"May 1, 2017",147
"May 1, 2016",163
"May 1, 2016",98
